job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,A,0,25,2,compress
2,D,2,1,2,thumbnail
3,E,3,2,2,thumbnail
4,C,4,1,2,thumbnail
5,B,5,1,2,thumbnail
6,E,6,1,2,thumbnail
7,D,7,2,2,thumbnail
8,D,8,2,2,thumbnail
9,E,9,2,2,thumbnail
10,D,10,2,2,thumbnail
11,B,11,2,2,thumbnail
12,E,12,2,2,thumbnail
13,C,13,1,2,thumbnail
14,A,14,1,2,thumbnail
15,D,15,1,2,thumbnail
16,C,16,1,2,thumbnail
17,B,17,2,2,thumbnail
18,D,18,1,2,thumbnail
19,A,19,2,2,thumbnail
20,E,20,2,2,thumbnail
