job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,A,0,7,4,metadata_update
2,E,1,4,4,metadata_update
3,D,2,6,4,thumbnail
4,B,3,7,4,policy_check
5,D,4,5,4,thumbnail
6,E,5,4,4,thumbnail
17,D,5,3,1,policy_check
7,B,6,4,3,metadata_update
14,C,6,4,1,policy_check
8,C,7,4,4,policy_check
16,B,7,2,1,policy_check
9,C,8,4,3,policy_check
12,D,8,4,1,policy_check
18,C,8,4,1,policy_check
10,B,9,7,3,compress
11,D,10,3,1,policy_check
13,D,10,2,1,policy_check
15,B,10,2,1,policy_check
19,A,10,3,1,policy_check
20,C,11,2,1,policy_check
